State,County,Income
Georgia,Whitfield,39927
Georgia,Wilcox,29334
Georgia,Wilkes,42644
Georgia,Wilkinson,37011
Georgia,Worth,36974
Hawaii,Hawaii,43578
Hawaii,Honolulu,61174
Hawaii,Kauai,51545
Hawaii,Maui + Kalawao,51348
Idaho,Ada,54896
Idaho,Adams,39038
Idaho,Bannock,39246
Idaho,Bear Lake,43103
Idaho,Benewah,39695
Idaho,Bingham,37909
Idaho,Blaine,117097
Idaho,Boise,43320
Idaho,Bonner,42277
Idaho,Bonneville,50114
Idaho,Boundary,38142
Idaho,Butte,44828
Idaho,Camas,47417
Idaho,Canyon,34446
Idaho,Caribou,42527
Idaho,Cassia,49712
Idaho,Clark,41622
Idaho,Clearwater,36805
Idaho,Custer,43920
Idaho,Elmore,40585
Idaho,Franklin,37293
Idaho,Fremont (includes Yellowstone National Park),37953
Idaho,Gem,39382
Idaho,Gooding,61715
Idaho,Idaho,35946
Idaho,Jefferson,37025
Idaho,Jerome,40190
Idaho,Kootenai,46645
Idaho,Latah,41833
Idaho,Lemhi,44199
Idaho,Lewis,49643
Idaho,Lincoln,41610
Idaho,Madison,28780
Idaho,Minidoka,41421
Idaho,Nez Perce,47200
Idaho,Oneida,39523
Idaho,Owyhee,39409
Idaho,Payette,41890
Idaho,Power,43313
Idaho,Shoshone,36793
Idaho,Teton,40911
Idaho,Twin Falls,42379
Idaho,Valley,51088
Idaho,Washington,36292
Illinois,Adams,47898
Illinois,Alexander,37723
Illinois,Bond,37871
Illinois,Boone,47682
Illinois,Brown,37500
Illinois,Bureau,43040
Illinois,Calhoun,43368
Illinois,Carroll,45342
Illinois,Cass,41954
Illinois,Champaign,45967
Illinois,Christian,42576
Illinois,Clark,42593
Illinois,Clay,40308
Illinois,Clinton,47653
Illinois,Coles,41751
Illinois,Cook,65306
Illinois,Crawford,47935
Illinois,Cumberland,83954
Illinois,DeKalb,42120
Illinois,De Witt,47023
Illinois,Douglas,51859
Illinois,DuPage,75137
Illinois,Edgar,42665
Illinois,Edwards,40991
Illinois,Effingham,51296
Illinois,Fayette,36310
Illinois,Ford,50606
Illinois,Franklin,38289
Illinois,Fulton,38465
Illinois,Gallatin,42451
Illinois,Greene,36652
Illinois,Grundy,55741
Illinois,Hamilton,43609
Illinois,Hancock,45052
Illinois,Hardin,37438
Illinois,Henderson,42414
Illinois,Henry,46700
Illinois,Iroquois,44994
Illinois,Jackson,37967
Illinois,Jasper,41811
Illinois,Jefferson,40516
Illinois,Jersey,42836
Illinois,Jo Daviess,48743
Illinois,Johnson,36717
Illinois,Kane,52163
Illinois,Kankakee,42687
Illinois,Kendall,49931
Illinois,Knox,40363
Illinois,Lake,80973
Illinois,LaSalle,46013
Illinois,Lawrence,30877
Illinois,Lee,42776
Illinois,Livingston,45090
Illinois,Logan,37660
Illinois,McDonough,38550
Illinois,McHenry,56711
Illinois,McLean,49602
Illinois,Macon,48764
Illinois,Macoupin,42341
Illinois,Madison,48222
Illinois,Marion,42895
Illinois,Marshall,45901
Illinois,Mason,41137
Illinois,Massac,38926
Illinois,Menard,47012
Illinois,Mercer,47701
Illinois,Monroe,59125
Illinois,Montgomery,36324
Illinois,Morgan,40560
Illinois,Moultrie,64409
Illinois,Ogle,47369
Illinois,Peoria,51089
Illinois,Perry,38179
Illinois,Piatt,54940
Illinois,Pike,41957
Illinois,Pope,29510
Illinois,Pulaski,37936
Illinois,Putnam,61363
Illinois,Randolph,37988
Illinois,Richland,42275
Illinois,Rock Island,45711
Illinois,St. Clair,46116
Illinois,Saline,40891
Illinois,Sangamon,49445
Illinois,Schuyler,44586
Illinois,Scott,41942
Illinois,Shelby,40517
Illinois,Stark,42563
Illinois,Stephenson,42980
Illinois,Tazewell,48515
Illinois,Union,43491
Illinois,Vermilion,40109
Illinois,Wabash,43098
Illinois,Warren,41270
Illinois,Washington,48740
Illinois,Wayne,39592
Illinois,White,50560
Illinois,Whiteside,44916
Illinois,Will,53895
Illinois,Williamson,45878
Illinois,Winnebago,44234
Illinois,Woodford,53163
Indiana,Adams,40584
Indiana,Allen,47602
Indiana,Bartholomew,52546
Indiana,Benton,42135
Indiana,Blackford,38813
Indiana,Boone,76241
Indiana,Brown,48862
Indiana,Carroll,43432
Indiana,Cass,40693
Indiana,Clark,45270
Indiana,Clay,39004
Indiana,Clinton,39905
Indiana,Crawford,35054
Indiana,Daviess,43998
Indiana,Dearborn,49949
Indiana,Decatur,44168
Indiana,DeKalb,45324
Indiana,Delaware,38129
Indiana,Dubois,57217
Indiana,Elkhart,46975
Indiana,Fayette,41993
Indiana,Floyd,57145
Indiana,Fountain,41412
Indiana,Franklin,47664
Indiana,Fulton,43775
Indiana,Gibson,46049
Indiana,Grant,41491
Indiana,Greene,41747
Indiana,Hamilton,77263
Indiana,Hancock,52134
Indiana,Harrison,43431
Indiana,Hendricks,50979
Indiana,Henry,39863
Indiana,Howard,42911
Indiana,Huntington,42824
Indiana,Jackson,44192
Indiana,Jasper,45777
Indiana,Jay,39317
Indiana,Jefferson,44102
Indiana,Jennings,41169
Indiana,Johnson,50018
Indiana,Knox,45882
Indiana,Kosciusko,48425
Indiana,Lagrange,43275
Indiana,Lake,46736
Indiana,LaPorte,43910
Indiana,Lawrence,42538
Indiana,Madison,39428
Indiana,Marion,54405
Indiana,Marshall,42196
Indiana,Martin,39207
Indiana,Miami,35970
Indiana,Monroe,43660
Indiana,Montgomery,40979
Indiana,Morgan,45352
Indiana,Newton,41454
Indiana,Noble,40799
Indiana,Ohio,41339
Indiana,Orange,38432
Indiana,Owen,41632
Indiana,Parke,37570
Indiana,Perry,38272
Indiana,Pike,41827
Indiana,Porter,54723
Indiana,Posey,50407
Indiana,Pulaski,45473
Indiana,Putnam,38303
Indiana,Randolph,39222
Indiana,Ripley,43282
Indiana,Rush,47445
Indiana,St. Joseph,48535
Indiana,Scott,38948
Indiana,Shelby,44799
Indiana,Spencer,46393
Indiana,Starke,35648
Indiana,Steuben,44854
Indiana,Sullivan,36863
Indiana,Switzerland,32174
Indiana,Tippecanoe,39525
Indiana,Tipton,47392
Indiana,Union,40659
Indiana,Vanderburgh,47233
Indiana,Vermillion,38633
Indiana,Vigo,39432
Indiana,Wabash,43955
Indiana,Warren,45202
Indiana,Warrick,58539
Indiana,Washington,39759
Indiana,Wayne,42857
Indiana,Wells,42857
Indiana,White,44008
Indiana,Whitley,46555
Iowa,Adair,55251
Iowa,Adams,66683
Iowa,Allamakee,49945
Iowa,Appanoose,40000
Iowa,Audubon,58359
Iowa,Benton,55520
Iowa,Black Hawk,46326
Iowa,Boone,49794
Iowa,Bremer,50810
Iowa,Buchanan,50823
Iowa,Buena Vista,48394
Iowa,Butler,49509
Iowa,Calhoun,54273
Iowa,Carroll,58482
Iowa,Cass,50153
Iowa,Cedar,56419
Iowa,Cerro Gordo,54253
Iowa,Cherokee,65727
Iowa,Chickasaw,62483
Iowa,Clarke,42031
Iowa,Clay,54270
Iowa,Clayton,51982
Iowa,Clinton,46466
Iowa,Crawford,45817
Iowa,Dallas,68246
Iowa,Davis,40289
Iowa,Decatur,36494
Iowa,Delaware,54823
Iowa,Des Moines,50725
